Content Type,Count,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,google/gemma-3-4b-it,google/medgemma-4b-it,llava-hf/llava-v1.6-mistral-7b-hf,microsoft/llava-med-v1.5-mistral-7b
Organ,253,77.08,67.59,83.4,64.43,56.92
Position,186,54.84,50.54,64.52,45.16,63.98
Abnormality,150,56.67,56.67,74.0,58.67,42.67
KG,148,47.3,32.43,52.03,41.22,34.46
Modality,108,82.41,84.26,98.15,45.37,87.04
Size,65,67.69,70.77,83.08,70.77,46.15
Plane,58,53.45,22.41,46.55,27.59,60.34
Quantity,52,51.92,40.38,73.08,15.38,36.54
Color,34,70.59,41.18,100.0,47.06,26.47
Shape,7,42.86,28.57,57.14,14.29,14.29
