dataset,model,f1_mean,f1_ci_lo,f1_ci_hi,judge_acc_mean,judge_ci_lo,judge_ci_hi
SLAKE,MedGemma-4B,70.5039,67.8311,73.2293,73.7041,71.065,76.3431
SLAKE,Gemma-3-4B,42.1371,39.2294,45.105,55.1367,52.2149,58.1527
SLAKE,HuatuoGPT-7B,47.8645,44.9301,50.8263,63.148,60.3181,65.9755
SLAKE,LLaVA-1.6-7B,36.9817,34.1721,39.8047,50.1414,47.1254,53.1574
SLAKE,LLaVA-Med-7B,37.0426,34.2896,39.8855,53.3459,50.3299,56.4562
VQA-RAD,MedGemma-4B,62.1881,57.8755,66.5238,63.8581,59.4235,68.2927
VQA-RAD,Gemma-3-4B,43.3915,38.9371,47.8592,45.898,41.2417,50.5543
VQA-RAD,HuatuoGPT-7B,57.4032,52.9184,61.7662,60.0887,55.4324,64.5233
VQA-RAD,LLaVA-1.6-7B,42.0294,37.5207,46.5411,45.0111,40.3548,49.6674
VQA-RAD,LLaVA-Med-7B,34.5279,30.4814,38.7232,46.3415,41.6851,50.9978
VQAv2,Gemma-3-4B,54.508,51.5285,57.5405,58.3,55.2,61.3
VQAv2,LLaVA-1.6-7B,59.4398,56.5878,62.2646,69.8,66.9,72.6
OK-VQA,Gemma-3-4B,23.954,21.4022,26.5242,40.0,37.0,43.0
OK-VQA,LLaVA-1.6-7B,41.5918,38.6946,44.5007,56.6,53.5,59.7
